City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
404,Maningrida,AU,-12.0667,134.2667,90.0,53,99,14.38,overcast clouds
405,Dicabisagan,PH,17.0818,122.4157,86.52,63,59,7.27,broken clouds
406,Nueva Imperial,CL,-38.7333,-72.95,34.45,90,6,2.08,clear sky
407,Jablah,SY,35.3614,35.9256,70.09,73,75,2.3,broken clouds
408,Nicoya,CR,10.1483,-85.452,72.88,93,100,1.45,overcast clouds
409,Mae Sai,TH,20.4335,99.8762,87.69,52,55,4.18,broken clouds
410,Kunda,IN,25.7167,81.5167,86.97,65,80,8.46,broken clouds
411,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,40,40,11.18,scattered clouds
412,Acarau,BR,-2.8856,-40.12,77.5,82,0,14.16,clear sky
413,Nelson Bay,AU,-32.7167,152.15,68.09,91,99,21.99,moderate rain
414,Luganville,VU,-15.5333,167.1667,81.3,75,24,9.22,few clouds
415,Sitka,US,57.0531,-135.33,57.09,88,100,3.44,overcast clouds
416,Srednekolymsk,RU,67.45,153.6833,23.74,61,97,17.78,overcast clouds
417,Virginia Beach,US,36.8529,-75.978,66.02,71,20,3.44,few clouds
418,Dauphin,CA,51.1494,-100.0502,44.74,61,0,9.22,clear sky
419,Hayvoron,UA,48.3396,29.8679,51.19,69,12,5.64,few clouds
420,Venado Tuerto,AR,-33.7456,-61.9688,66.76,54,34,13.18,scattered clouds
421,Morant Bay,JM,17.8815,-76.4093,82.02,81,63,9.35,broken clouds
422,Pozo Colorado,PY,-23.4923,-58.7972,59.23,67,0,5.3,clear sky
423,Porto Nacional,BR,-10.7081,-48.4172,75.2,56,22,2.64,few clouds
424,Sorong,ID,-0.8833,131.25,84.76,69,39,4.38,scattered clouds
425,Provost,CA,52.3501,-110.2683,43.25,55,51,4.23,broken clouds
426,Saint-Augustin,CA,51.226,-58.6502,42.08,88,100,19.28,overcast clouds
427,Labytnangi,RU,66.6572,66.4183,41.18,88,95,4.85,overcast clouds
428,Chardara,KZ,41.2547,67.9692,71.65,20,44,3.4,scattered clouds
429,Suda,RU,59.1525,37.5582,50.11,85,91,10.33,overcast clouds
430,Kamensk-Uralskiy,RU,56.4185,61.9329,45.81,81,100,11.52,light rain
431,Palmer,US,42.1584,-72.3287,52.52,70,0,11.5,clear sky
432,Huntsville,US,34.7304,-86.5861,62.82,68,0,11.01,clear sky
433,Magalia,US,39.8121,-121.5783,67.75,23,1,6.71,clear sky
